37,qwe,wqe,kf@gmail.com,12,wqe,qwe,Reject
137,asd,asd,kf@gmail.com,12,asdas,sad,Approve
7,leave,evocation,ev@gmail.com,100,ok,ok,Reject
152,Vacation,Kaniz,kf@gmail.com,14,Bhallagena ar,Under process,Approve
20,Vacation,Farhan,fs@gmail.com,19,Amar sdaasda asdsdfh dfshse  ashdcac asdhasd awdhasda fefa,Under process,Approve
453,Emergency,Kaniz,kf@gmail.com,14,lop,Under process,Approve
152,Vacation,Kaniz,kf@gmail.com,14,Bhallagena ar,Under process,Reject
62,Vacation,moob,moob@gmail.com,244,noob,Under process,Approve
21,Vacation,snek,snek@gmail.com,900,awdasdso,Under process,Approve
62,Vacation,moob,moob@gmail.com,244,noob,Under process,Approve
21,Vacation,snek,snek@gmail.com,900,awdasdso,Under process,Approve
311,Vacation,snek,snek@gmail.com,123123,123123,Under process,Approve
118,Vacation,snek,snek@gmail.com,345345,1231234335345,Under process,Approve
328,Emergency,Kaniz,kaniz@gmail.com,7,Family Emergency,Under process,Approve
148,Sickness,Robin,robin@gmail.com,3,Too sick,Under process,Approve
104,Occasion,Robinson,robinson@gmail.com,5,marriage ceremony,Under process,Approve
338,Sickness,mosby,mosby@gmail.com,3,Fever,Under process,Approve
